"gene_id"	"gene_name"	"gene_biotype"	"gene_seq_start"	"gene_seq_end"	"seq_name"	"seq_strand"	"seq_coord_system"	"description"	"gene_id_version"	"canonical_transcript"	"symbol"	"entrezid"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"Rhythmicity"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"SRX17979083"	"SRX17979084"	"SRX17979085"	"SRX17979086"	"SRX17979087"	"SRX17979088"	"SRX17979089"	"SRX17979090"	"SRX17979091"	"SRX17979092"	"SRX17979093"	"SRX17979094"	"SRX17979095"	"SRX17979096"	"SRX17979097"	"SRX17979098"	"SRX17979099"	"SRX17979100"	"SRX17979101"	"SRX17979102"	"SRX17979103"	"SRX17979104"	"SRX17979105"	"SRX17979106"	"SRX17979107"	"SRX17979108"	"SRX17979109"	"SRX17979110"	"SRX17979111"	"SRX17979112"	"DE_col"	"amp_bin"
ENSMUSG00000005547	Cyp2a5	protein_coding	26835305	26843548	7	1	chromosome	cytochrome P450, family 2, subfamily a, polypeptide 5 [Source:MGI Symbol;Acc:MGI:88597]	ENSMUSG00000005547.14	ENSMUST00000005685	Cyp2a5	13087	DOWN	Rhythmic	-4.12316919496028	4.6824862168992	-35.7926701113942	5.87813347156319e-41	5.70556826750516e-38	83.1650326238678	DOWN	Rhythmic	Rhythmic	0.00083002917984295	6.27912279695749e-05	24	14	0.495835440599596	0.657656317178398	62.0884992762187	6.29357116650801	5.52649286678267	5.57438617312449	5.52300961997804	4.11179893890826	5.80460059862383	6.21659153148037	6.59684724197363	5.52332325781724	5.11545223350149	5.91635192026284	6.13813360943292	6.35506317586095	6.57175833494578	6.60770463034375	7.00191046546551	7.43543958347136	6.85585186937402	7.33506805741203	6.7421469168264	6.8250471862255	6.84007919135742	6.80919455664256	5.6873819358852	6.09359250943751	7.05581885594142	6.52371462746096	6.05021404061075	6.38175826129852	6.10026128639019	DE	(0.125,2.45]
ENSMUSG00000030762	Aqp8	protein_coding	123462291	123468004	7	1	chromosome	aquaporin 8 [Source:MGI Symbol;Acc:MGI:1195271]	ENSMUSG00000030762.11	ENSMUST00000098056	Aqp8	11833	UP	Rhythmic	3.59677295806698	1.41308437978369	28.4620137630442	1.51948022134779e-35	5.89949049368433e-33	70.8490142621536	UP	Rhythmic	Rhythmic	0.00193849808695983	0.000203707062195794	24	2	1.06291781651544	0.924175627523108	0.684688323209015	0.347013752296464	0.154653657244252	-0.331156670299333	0.326527674279672	-1.64672031013082	0.0282242535239123	-0.252058001218037	-0.163010994354957	0.686559793552154	-0.171040784570976	-1.23152740011746	-1.22741999245891	-1.75525079302217	-2.08862624929837	-0.657440554931754	-1.64348637436282	-1.44940858649256	-2.39327219607984	-0.942783009501455	-2.19398013043861	-1.79945607510648	-1.68438852788926	-2.05105107765224	-0.546959261485214	-1.20205669937084	0.0614456773856826	-1.11608464535718	0.697513775331986	-0.327665451051741	-1.00094707777799	DE	(0.125,2.45]
ENSMUSG00000026077	Npas2	protein_coding	39193731	39363236	1	1	chromosome	neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232]	ENSMUSG00000026077.15	ENSMUST00000056815	Npas2	18143	UP	Rhythmic	3.46856686989678	3.78627362828459	33.7845194590267	1.39573812046623e-39	1.1156873717068e-36	80.0489360380789	UP	Rhythmic	Rhythmic	3.18187244683345e-07	7.96112025846914e-10	24	0	2.25195849346161	2.27826929365896	16.0561942020671	4.031519628103	3.49610003969987	3.81051135367009	3.72631110137501	2.64043010033663	1.64432855057517	0.832160039303858	0.761818879076716	2.73780542678602	2.20137057373442	-0.0759780217031584	-0.539002868190551	0.288408431254538	-0.560732321440417	-0.583134384873885	-0.935742057331754	-0.258210288521936	0.0476127872665797	-1.04320797682803	-0.779586068951981	1.11919456319421	1.35831399412185	1.51205645834295	1.81860673537416	2.68919382325764	3.39789710573977	2.85418256490621	4.07295081291424	3.63907581365181	3.06854755955715	DE	(0.125,2.45]
ENSMUSG00000028989	Angptl7	protein_coding	148495183	148500460	4	-1	chromosome	angiopoietin-like 7 [Source:MGI Symbol;Acc:MGI:3605801]	ENSMUSG00000028989.3	ENSMUST00000030840	Angptl7	654812	DOWN	Rhythmic	-3.36353744754471	2.44658060429982	-27.4197148817708	1.12016585364949e-34	3.83676970218499e-32	68.8628073665852	DOWN	Rhythmic	Rhythmic	4.10122709900549e-05	9.44649409072572e-07	24	14	0.637113768086971	0.825106906301101	13.5717360156228	1.67677180403877	2.78752056353937	3.01971052822228	1.80255712015776	2.2885516897704	3.18815131723516	2.35772604351966	2.74063060450993	2.33153219851528	3.21385406780657	3.3151287438987	3.5645157573976	3.13179492070541	3.43347294285574	3.57177628795408	3.76655913855408	4.15799808804472	4.7518946719793	4.23928832265911	3.72127789372078	4.15177117848833	3.79613254146625	4.44002358072569	3.00247457086817	3.77088238099621	3.27169335677294	3.69483943018634	3.15000079326831	2.89289084027583	4.28986071673975	DE	(0.125,2.45]
ENSMUSG00000031326	Cdx4	protein_coding	103321398	103330592	X	1	chromosome	caudal type homeobox 4 [Source:MGI Symbol;Acc:MGI:88362]	ENSMUSG00000031326.2	ENSMUST00000033689	Cdx4	12592	UP	Rhythmic	2.56752230518637	-0.855021619234245	14.7525858750535	3.44426482041849e-21	1.44904379704851e-19	37.7481014129794	UP	Rhythmic	Rhythmic	0.0130691401527977	0.00262267607599376	24	0	0.867688342488049	0.896148976110869	0.19434386541437	-1.22123085582342	-0.785315821086744	-0.698355638001089	-2.44809336233173	-2.91470036742485	-2.88860875523228	-2.91282856654691	-2.32475537800123	-0.76099724472517	-1.07506459305086	-1.95372968163035	-3.6151453854571	-1.67099163862394	-3.40305266185404	-3.60798483486567	-3.61730353358203	-2.47414942124718	-2.56770423202306	-3.22070508169719	-3.54382724421193	-2.73131185567266	-2.17378485634801	-2.51797044454301	-3.01777306831356	-2.48227682906105	-0.147511914915711	-2.1308342548495	-1.10902604990076	-1.31224979877277	-1.79067644645393	DE	(0.125,2.45]
ENSMUSG00000002250	Ppard	protein_coding	28232700	28301474	17	1	chromosome	peroxisome proliferator activator receptor delta [Source:MGI Symbol;Acc:MGI:101884]	ENSMUSG00000002250.16	ENSMUST00000002320	Ppard	19015	UP	Rhythmic	2.45333209298468	5.3637574397504	28.7894660985912	8.21905783173041e-36	3.6028637701737e-33	71.4594051967236	UP	Rhythmic	Rhythmic	2.3695622050259e-06	1.44730048581316e-08	24	22	0.713670962182721	1.17954369340245	22.5724500090162	4.80901169176957	4.64490856132585	4.49488084353167	4.77786695982441	3.30281222100476	2.53684428832088	2.59634895708744	2.41060260339384	3.50139991614814	2.79739701229314	2.30446182987639	2.03135162567613	2.32672149682319	2.52037042887804	2.26315245205564	2.15530152062842	2.24705992552067	2.35587896644553	2.37856894897905	2.50245776797757	2.69154354381739	2.72209851907383	2.8953143111455	3.86663985488037	3.34080897972611	4.1017121290661	3.960214655233	4.74850860976943	4.34435524327165	3.92957941643425	DE	(0.125,2.45]
ENSMUSG00000038550	Ciart	protein_coding	95878503	95882251	3	-1	chromosome	circadian associated repressor of transcription [Source:MGI Symbol;Acc:MGI:2684975]	ENSMUSG00000038550.10	ENSMUST00000159739	Ciart	229599	DOWN	Rhythmic	-2.44257731978735	0.809998795544974	-14.6620479187637	4.55969548637731e-21	1.88907627940187e-19	37.4659596552553	DOWN	Rhythmic	Rhythmic	1.3594946804911e-06	7.30319461887192e-09	24	10	2.22541942270785	2.2518930903098	15.3547535323179	0.2902393115182	0.171769788528435	0.230414808720292	-0.0731597923896422	1.30014169379927	3.20739474503838	3.92884039264642	3.33149053216384	2.13094894552397	2.88298856112172	3.70875487331764	3.87737871771005	4.73673908010968	4.04671045443903	4.31488090845072	4.88778074228767	4.39735557824793	3.64215059147269	4.56911442810378	4.06563420194435	1.53349668365586	2.5823876482452	1.78663251939773	0.771024685354299	1.07371695839286	0.781622063084476	0.979268795870858	-0.205839156854697	0.156030185981498	0.814407394619851	DE	(0.125,2.45]
ENSMUSG00000006542	Prkag3	protein_coding	74738922	74749221	1	-1	chromosome	protein kinase, AMP-activated, gamma 3 non-catalytic subunit [Source:MGI Symbol;Acc:MGI:1891343]	ENSMUSG00000006542.13	ENSMUST00000188073	Prkag3	241113	DOWN	Rhythmic	-2.30456878774349	1.80010093399992	-27.4155117162947	1.12937514230186e-34	3.83676970218499e-32	68.8546610194875	DOWN	Rhythmic	Rhythmic	1.07471865707445e-05	1.3207595535465e-07	24	14	0.476833804920042	0.594615549647445	3.96077437743448	1.6774795930307	2.02492438688495	2.31663199875623	2.45490277077548	2.53365227021974	1.9495355146532	2.4876913813894	2.30995848688376	1.47330576807182	2.2841007146659	2.7804925281734	2.8884447030531	3.00359755906819	2.842853671989	2.21170288658126	3.22229529608844	3.61500821063045	3.15658966871745	2.96458928250046	3.2044300746631	2.93847533111809	3.465752870317	3.33216094842726	3.08181229543231	2.91226250147743	2.5927101003949	2.50057091239451	2.37841167248993	2.40465570179736	2.51293047553234	DE	(0.125,2.45]
ENSMUSG00000022229	Atp12a	protein_coding	56365068	56388550	14	1	chromosome	ATPase, H+/K+ transporting, nongastric, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1926943]	ENSMUSG00000022229.3	ENSMUST00000007340	Atp12a	192113	UP	Rhythmic	2.11793796088066	-0.175810882017884	11.5851921008054	1.16970319179294e-16	2.65360545463677e-15	27.2564344736956	UP	Rhythmic	Rhythmic	0.00083002917984295	6.27912279695749e-05	24	6	1.04683171686709	0.997972068149886	0.423105863900548	0.520123729782677	-0.642438150607815	0.0790038939883952	-0.712529517827995	-1.39549550148249	0.692283838519455	-0.379490150002449	0.198048079021937	1.15357085021809	0.874675180888777	0.217278108741464	0.331981335431009	0.701421624713597	-0.399772592611841	0.366046548541797	-2.01626541402809	0.110088056784695	-1.04667422669256	-0.45024883587534	-1.89506171281391	-1.51315984628345	-2.1647663772593	-1.73449611918955	-1.65380609795099	-0.614868587877014	-0.993352189933101	-0.881387262277868	0.456601838466739	-2.02243658816049	-1.10884119399455	DE	(0.125,2.45]
ENSMUSG00000079494	Nat8f5	protein_coding	85817218	85820972	6	-1	chromosome	N-acetyltransferase 8 (GCN5-related) family member 5 [Source:MGI Symbol;Acc:MGI:1916299]	ENSMUSG00000079494.2	ENSMUST00000032074	Nat8f5	69049	DOWN	Rhythmic	-2.0976137168201	5.22898691356496	-20.824032210512	1.94155564871881e-28	2.58664703043529e-26	54.5122426246151	DOWN	Rhythmic	Rhythmic	3.0821932625208e-06	2.0186562687788e-08	24	16	0.542959434813385	0.619843400578077	41.6296885395805	5.36248502070521	5.75726929301875	5.76790189899871	5.36554923826216	5.69969914110263	5.52552705076218	5.39889681615476	5.50917426088802	4.76433597909945	5.11150033583702	5.96934168341828	5.57274887183514	5.60237438175831	6.44247585030065	5.5295384407044	6.29739903723592	6.24899765603116	6.35780984703629	6.10553744417559	6.31049487642857	6.46328861564288	6.8521022945402	6.66601286616279	6.41726198108888	6.26660525097536	6.29543636612039	6.34549065070635	5.78874433347231	5.85917701105142	6.15806309652154	DE	(0.125,2.45]
